label,select_sex,dmp_sex,dmp_age,dmp_city,dmp_education,dmp_price,dmp_model,user_state,first_preference,first_weight,second_preference,second_weight,freetype,categoryid,subcategoryid,allwords,vipwords,avgbuy
0,0,1,30,2,1010165000000010008,0,1010107000000001121,2,1,1313.54,0,0,1,20019,20026,4433113,4556495,2553
0,0,1,19,6,1010165000000010008,4288,1010107000000001153,2,1,8086.69,0,0,1,20019,20026,3684615,3789930,9931
0,0,0,0,\N,0,\N,\N,1,1,3670.92,0,0,1,20019,20026,3684615,3789930,9931
0,0,2,14,5,1010165000000010004,0,1010107000000001102,2,1,12484.5,0,0,1,20028,20029,261880,30359,232
0,0,1,41,1,1010165000000010004,0,1010107000000001153,2,1,4152.95,0,0,1,20019,20026,3241023,3186707,6586
1,0,2,48,4,1010165000000010007,1999,1010107000000001153,2,2,352610,0,0,2,30013,30015,1492548,1406077,26103
1,0,2,48,4,1010165000000010007,1999,1010107000000001153,2,2,352610,0,0,2,30013,30015,1492548,1406077,26103
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
1,0,1,32,0,1010165000000010004,5488,1010107000000001153,2,1,59792,0,0,1,20001,20002,4084606,4035791,1916
